urls,event_id,shape
http://www.mufoncms.com/files_jeud8334j/64051_submitter_file1__image.jpg,64051,Circle
http://www.mufoncms.com/files_jeud8334j/64050_submitter_file1__20150317201133.jpg,64050,Star-like
http://www.mufoncms.com/files_jeud8334j/64049_submitter_file1__IMG0001.JPG,64049,Disc
http://www.mufoncms.com/files_jeud8334j/64048_submitter_file1__objectmap.jpg,64048,Triangle
http://www.mufoncms.com/files_jeud8334j/64041_submitter_file1__UFO1.jpg,64041,Triangle
http://www.mufoncms.com/files_jeud8334j/64038_submitter_file2__IMG20150317033958.jpg,64038,Oval
http://www.mufoncms.com/files_jeud8334j/64036_submitter_file4__IMG20150317033958.jpg,64036,Oval
http://www.mufoncms.com/files_jeud8334j/64035_submitter_file5__1001036.JPG,64035,Sphere
http://www.mufoncms.com/files_jeud8334j/64027_submitter_file1__image.jpg,64027,Diamond
http://www.mufoncms.com/files_jeud8334j/64022_submitter_file1__Bild1.jpg,64022,Triangle
http://www.mufoncms.com/files_jeud8334j/51350_submitter_file1__SAM9229.jpg,51350,Chevron
http://www.mufoncms.com/files_jeud8334j/51346_submitter_file1__getattachment.jpg,51346,Cylinder
http://www.mufoncms.com/files_jeud8334j/51340_submitter_file1__IMGA0119belowthemoonisee4strangelightssoitookthis.jpg,51340,Sphere
http://www.mufoncms.com/files_jeud8334j/51337_submitter_file1__UFO2.jpg,51337,Bullet
http://www.mufoncms.com/files_jeud8334j/65645_submitter_file1__20150518175549.jpg,65645,Sphere
http://www.mufoncms.com/files_jeud8334j/65640_submitter_file1__image.jpg,65640,Disc
http://www.mufoncms.com/files_jeud8334j/65632_submitter_file1__0504152137.jpg,65632,Other
http://www.mufoncms.com/files_jeud8334j/65623_submitter_file1__11168400102067674108129552786019388191649665n.jpg,65623,Disc
http://www.mufoncms.com/files_jeud8334j/82620_submitter_file1__1489379127104183991351.jpg,82620,Star-like
