,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
45000,2013-01-04 04:49:00,2012-12-30 05:26:00,Viewing Distance Unknown,,,,,,,,,,
45001,2013-01-04 06:17:00,1978-11-20 08:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45002,2013-01-04 07:08:00,2013-01-04 03:45:00,Viewing Distance 20 Feet or Less,,,,,,,,,,
45003,2013-01-04 08:57:00,2013-01-03 16:27:00,Viewing Distance Over One Mile,,,,,,,,,,
45004,2013-01-04 09:17:00,2013-01-03 16:27:00,Viewing Distance Over One Mile,,,,,,,,,,
45005,2013-01-04 10:03:00,2013-01-01 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45006,2013-01-04 10:40:00,2013-01-01 05:15:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45007,2013-01-04 16:18:00,1967-03-10 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45008,2013-01-04 16:21:00,2013-01-04 12:04:00,Viewing Distance Over One Mile,0 days 01:10:00.000000000,,,,,,,,,
45009,2013-01-04 18:57:00,2013-01-04 05:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45010,2013-01-04 20:17:00,2013-01-04 11:35:00,Viewing Distance Over One Mile,,,,,,,,,,
45011,2013-01-04 21:16:00,2012-12-19 01:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45012,2013-01-04 21:32:00,2007-07-08 09:30:00,Viewing Distance Unknown,,,,,,,,,,
45013,2013-01-04 21:34:00,2013-01-03 23:39:00,Viewing Distance Over One Mile,,,,,,,,,,
45014,2013-01-04 21:48:00,2013-01-04 19:23:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:02:30.000000000,,,,,,,,,
45015,2013-01-04 23:33:00,2013-01-04 21:39:00,Viewing Distance Over One Mile,,,,,,,,,,
45016,2013-01-04 23:38:00,2013-01-04 13:30:00,Viewing Distance Unknown,,,,,,,,,,
45017,2013-01-05 00:22:00,2012-12-30 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45018,2013-01-05 00:29:00,2012-11-12 06:29:00,Viewing Distance Unknown,,,,,,,,,,
45019,2013-01-05 00:41:00,2013-01-01 06:53:00,Viewing Distance Over One Mile,,,,,,,,,,
45020,2013-01-05 02:26:00,2013-01-01 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45021,2013-01-05 03:08:00,2013-01-04 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45022,2013-01-05 03:47:00,2013-01-01 04:10:00,Viewing Distance Unknown,,,,,,,,,,
45023,2013-01-05 05:05:00,2013-01-05 03:00:00,Viewing Distance Over One Mile,0 days 00:10:00.000000000,,,,,,,,,
45024,2013-01-05 05:14:00,2012-12-31 00:25:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",0 days 00:00:04.000000000,,,,,,,,,
45025,2013-01-05 06:56:00,2013-01-04 12:15:00,Viewing Distance Over One Mile,0 days 00:35:00.000000000,,,,,,,,,
45026,2013-01-05 06:57:00,2013-01-05 05:00:00,Viewing Distance Over One Mile,0 days 00:01:30.000000000,,,,,,,,,
45027,2013-01-05 07:15:00,2013-01-04 23:02:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:45.000000000,,,,,,,,,
45028,2013-01-05 10:17:00,2013-01-03 08:00:00,Viewing Distance N/A,,,,,,,,,,
45029,2013-01-05 11:55:00,2012-12-31 08:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:03:00.000000000,,,,,,,,,
45030,2013-01-05 13:08:00,2013-01-05 10:25:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",0 days 00:00:04.000000000,,,,,,,,,
45031,2013-01-05 13:32:00,2012-07-07 05:04:00,Viewing Distance N/A,,,,,,,,,,
45032,2013-01-05 14:03:00,2013-01-01 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45033,2013-01-05 20:59:00,2012-07-15 04:10:00,Viewing Distance Over One Mile,0 days 00:02:00.000000000,,,,,,,,,
45034,2013-01-05 21:06:00,2013-01-01 03:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45035,2013-01-05 21:15:00,2013-01-01 03:00:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45036,2013-01-05 21:20:00,2012-12-31 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45037,2013-01-05 21:37:00,2012-12-30 01:50:00,Viewing Distance Unknown,,,,,,,,,,
45038,2013-01-05 23:49:00,2013-01-04 19:20:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45039,2013-01-06 00:08:00,2012-11-03 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45040,2013-01-06 02:11:00,2013-01-06 01:15:00,Viewing Distance Unknown,0 days 00:00:10.000000000,,,,,,,,,
45041,2013-01-06 02:28:00,1998-11-18 10:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45042,2013-01-06 02:37:00,2013-01-04 19:27:00,Viewing Distance N/A,,,,,,,,,,
45043,2013-01-06 04:30:00,2012-12-25 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45044,2013-01-06 04:58:00,2003-10-02 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45045,2013-01-06 06:19:00,2013-01-06 02:48:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:10.000000000,,,,,,,,,
45046,2013-01-06 06:46:00,2013-01-05 02:45:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45047,2013-01-06 07:09:00,2012-05-20 07:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45048,2013-01-06 07:30:00,2013-01-05 07:15:00,Viewing Distance Unknown,,,,,,,,,,
45049,2013-01-06 08:13:00,2013-01-06 00:12:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45050,2013-01-06 16:51:00,2012-11-10 22:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45051,2013-01-06 17:23:00,2013-01-06 02:45:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",0 days 00:00:03.000000000,,,,,,,,,
45053,2013-01-06 22:01:00,2013-01-01 07:10:00,Viewing Distance Unknown,,,,,,,,,,
45054,2013-01-06 22:12:00,2013-01-06 19:35:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45055,2013-01-06 22:37:00,2013-01-06 06:10:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",,,,,,,,,,
45056,2013-01-06 22:51:00,2012-11-11 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45057,2013-01-07 00:16:00,2012-12-06 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45058,2013-01-07 01:29:00,2011-07-04 04:00:00,Viewing Distance Unknown,,,,,,,,,,
45059,2013-01-07 02:35:00,2012-11-11 08:00:00,Viewing Distance 20 Feet or Less,,,,,,,,,,
45060,2013-01-07 03:33:00,2013-01-04 06:30:00,Viewing Distance Unknown,0 days 03:30:01.000000000,,,,,,,,,
45061,2013-01-07 03:46:00,2012-10-13 21:30:00,Viewing Distance Unknown,0 days 00:00:01.000000000,,,,,,,,,
45062,2013-01-07 04:14:00,2011-12-24 08:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45063,2013-01-07 04:21:00,2013-01-07 02:10:00,Viewing Distance Unknown,0 days 00:07:00.000000000,,,,,,,,,
45064,2013-01-07 04:22:00,2009-09-01 02:15:00,Viewing Distance Over One Mile,,,,,,,,,,
45065,2013-01-07 05:30:00,2012-12-22 05:10:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45066,2013-01-07 05:57:00,2013-01-06 03:15:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45067,2013-01-07 08:14:00,2012-08-30 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45068,2013-01-07 13:32:00,2013-01-02 23:12:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45069,2013-01-07 15:04:00,1959-10-20 08:00:00,Viewing Distance 21-100 Feet,0 days 07:00:00.000000000,,,,,,,,,
45070,2013-01-07 17:42:00,2013-01-06 08:00:00,Viewing Distance N/A,,,,,,,,,,
45072,2013-01-07 19:25:00,2013-01-03 11:03:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45073,2013-01-07 21:40:00,2012-12-31 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45074,2013-01-07 22:54:00,2007-04-16 10:14:00,Viewing Distance 21-100 Feet,0 days 00:45:17.000000000,,,,,,,,,
45075,2013-01-07 23:12:00,2009-08-15 07:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45076,2013-01-08 00:16:00,2013-01-05 21:05:00,Viewing Distance Unknown,,,,,,,,,,
45077,2013-01-08 01:44:00,2012-08-27 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45078,2013-01-08 02:08:00,2013-01-06 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45079,2013-01-08 03:49:00,2012-12-31 03:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45080,2013-01-08 04:16:00,2013-01-08 05:50:00,Viewing Distance Unknown,0 days 00:01:10.000000000,,,,,,,,,
45081,2013-01-08 05:41:00,2013-01-08 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45082,2013-01-08 06:09:00,1965-02-17 06:00:00,Viewing Distance 101-500 Feet,0 days 00:00:20.000000000,,,,,,,,,
45083,2013-01-08 06:22:00,2013-01-03 05:30:00,Viewing Distance Unknown,,,,,,,,,,
45084,2013-01-08 06:30:00,2012-12-24 08:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",,,,,,,,,,
45085,2013-01-08 06:48:00,1995-08-01 10:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45086,2013-01-08 07:09:00,2013-01-07 13:55:00,Viewing Distance N/A,,,,,,,,,,
45087,2013-01-08 07:43:00,2012-12-28 22:13:00,"Viewing Distance Unknown, N/A",,,,,,,,,,
45088,2013-01-08 09:50:00,2013-01-01 03:35:00,Viewing Distance Over One Mile,,,,,,,,,,
45089,2013-01-08 10:31:00,1993-08-01 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45090,2013-01-08 17:36:00,2012-08-15 00:21:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45091,2013-01-08 18:42:00,2012-12-15 02:50:00,Viewing Distance Over One Mile,,,,,,,,,,
45092,2013-01-08 19:38:00,2013-01-06 05:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45093,2013-01-08 21:10:00,2012-12-20 04:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45094,2013-01-08 19:52:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45095,2013-01-08 21:54:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45096,2013-01-08 22:20:00,2011-11-12 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45097,2013-01-08 23:47:00,1963-08-12 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45098,2013-01-08 23:49:00,1978-12-14 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45099,2013-01-08 23:59:00,2012-12-01 02:30:00,Viewing Distance Over One Mile,0 days 00:00:00.000000000,,,,,,,,,
45100,2013-01-09 01:13:00,2007-07-19 10:00:00,Viewing Distance Unknown,0 days 00:03:00.000000000,,,,,,,,,
45101,2013-01-09 01:36:00,2013-01-08 16:15:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45102,2013-01-09 01:49:00,2013-01-03 01:15:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45103,2013-01-09 03:51:00,2013-01-06 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45104,2013-01-09 04:45:00,2013-01-08 01:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45105,2013-01-09 06:55:00,2013-01-09 04:15:00,Viewing Distance Over One Mile,,,,,,,,,,
45106,2013-01-09 07:17:00,2002-09-01 07:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45107,2013-01-09 09:55:00,2013-01-09 04:50:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45108,2013-01-09 19:06:00,2012-12-30 16:20:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45109,2013-01-09 20:17:00,2013-01-07 06:00:00,"Viewing Distance 21-100 Feet, 101-500 Feet, Unknown",0 days 00:45:00.000000000,,,,,,,,,
45110,2013-01-09 21:16:00,2013-01-07 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45111,2013-01-09 22:11:00,2013-01-09 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45112,2013-01-09 22:30:00,2012-08-18 10:18:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45113,2013-01-09 23:52:00,2013-01-08 09:07:00,Viewing Distance Unknown,0 days 00:05:00.000000000,,,,,,,,,
45114,2013-01-10 01:02:00,2013-01-01 09:13:00,Viewing Distance 501 Feet - 1 Mile,0 days 01:10:20.000000000,,,,,,,,,
45115,2013-01-10 03:03:00,2013-01-09 14:10:00,Viewing Distance Over One Mile,0 days 08:04:03.000000000,,,,,,,,,
45116,2013-01-10 04:46:00,2011-09-30 05:30:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45117,2013-01-10 04:57:00,2013-01-08 08:00:00,Viewing Distance 101-500 Feet,0 days 00:01:30.000000000,,,,,,,,,
45118,2013-01-10 05:00:00,2013-01-10 02:30:00,"Viewing Distance 101-500 Feet, 501 Feet - 1 Mile",,,,,,,,,,
45119,2013-01-10 05:59:00,2013-01-10 02:45:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45120,2013-01-10 06:08:00,2013-01-09 07:00:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",0 days 00:00:05.000000000,,,,,,,,,
45121,2013-01-10 06:53:00,2013-01-09 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45122,2013-01-10 08:04:00,2013-01-10 05:40:00,Viewing Distance Unknown,0 days 00:00:10.000000000,,,,,,,,,
45123,2013-01-10 09:17:00,2012-07-18 07:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45124,2013-01-10 11:16:00,2013-01-11 07:48:00,Viewing Distance Unknown,0 days 00:00:03.000000000,,,,,,,,,
45125,2013-01-10 12:11:00,1978-12-16 04:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45126,2013-01-10 12:16:00,2012-06-19 03:15:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45127,2013-01-10 13:03:00,2013-01-10 06:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45128,2013-01-10 13:56:00,2012-07-30 05:02:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45129,2013-01-10 14:07:00,2013-01-06 02:10:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45130,2013-01-10 18:49:00,2013-01-10 06:45:00,"Viewing Distance 21-100 Feet, 101-500 Feet, 501 Feet - 1 Mile",,,,,,,,,,
45131,2013-01-10 19:23:00,2013-01-10 03:19:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45132,2013-01-11 00:03:00,2012-12-26 06:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45133,2013-01-11 04:17:00,2013-01-09 17:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45134,2013-01-11 04:46:00,2013-01-11 01:50:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",,,,,,,,,,
45135,2013-01-11 05:06:00,2013-01-11 01:45:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45136,2013-01-11 06:20:00,2013-01-07 23:20:00,Viewing Distance Over One Mile,,,,,,,,,,
45137,2013-01-11 06:55:00,2013-01-11 02:52:00,Viewing Distance Unknown,,,,,,,,,,
45138,2013-01-11 07:02:00,2013-01-11 05:38:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:02:01.000000000,,,,,,,,,
45139,2013-01-11 08:57:00,2011-07-09 12:03:00,Viewing Distance 101-500 Feet,0 days 02:00:00.000000000,,,,,,,,,
45140,2013-01-11 09:40:00,2003-01-18 07:15:00,Viewing Distance Over One Mile,0 days 00:00:25.000000000,,,,,,,,,
45141,2013-01-11 10:21:00,2013-01-09 20:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45142,2013-01-11 17:43:00,2013-01-11 04:15:00,"Viewing Distance Over 1 Mile, Unknown",0 days 00:01:00.000000000,,,,,,,,,
45143,2013-01-11 17:57:00,2013-01-11 06:30:00,Viewing Distance Unknown,,,,,,,,,,
45144,2013-01-11 18:13:00,2011-08-20 06:15:00,Viewing Distance Unknown,0 days 01:00:00.000000000,,,,,,,,,
45145,2013-01-11 18:16:00,2012-10-13 05:00:00,Viewing Distance Unknown,0 days 00:00:05.000000000,,,,,,,,,
45146,2013-01-11 18:24:00,2011-10-15 13:32:00,Viewing Distance Unknown,,,,,,,,,,
45147,2013-01-11 18:37:00,2012-10-13 07:00:00,Viewing Distance Unknown,0 days 00:00:04.000000000,,,,,,,,,
45148,2013-01-11 18:55:00,2012-10-13 07:00:00,Viewing Distance 101-500 Feet,0 days 00:03:00.000000000,,,,,,,,,
45149,2013-01-11 19:29:00,2013-01-05 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45151,2013-01-11 20:48:00,2013-01-11 14:20:00,Viewing Distance N/A,,,,,,,,,,
45153,2013-01-11 23:26:00,2013-01-10 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45154,2013-01-12 00:35:00,2013-01-10 08:00:00,Viewing Distance Unknown,0 days 00:01:00.000000000,,,,,,,,,
45155,2013-01-12 02:59:00,2013-01-11 05:40:00,Viewing Distance Unknown,,,,,,,,,,
45156,2013-01-12 04:15:00,2013-01-12 02:07:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45157,2013-01-12 06:15:00,1979-06-05 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45158,2013-01-12 06:45:00,1979-06-05 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45159,2013-01-12 07:54:00,2013-01-11 23:45:00,Viewing Distance Unknown,0 days 00:00:15.000000000,,,,,,,,,
45160,2013-01-12 07:59:00,2013-01-12 05:35:00,Viewing Distance Unknown,0 days 00:10:00.000000000,,,,,,,,,
45161,2013-01-12 09:15:00,2013-01-10 06:50:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45162,2013-01-12 09:45:00,2012-12-22 05:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45163,2013-01-12 16:04:00,2013-01-12 15:24:00,Viewing Distance Over One Mile,,,,,,,,,,
45165,2013-01-12 16:49:00,2012-12-21 14:11:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45166,2013-01-12 17:50:00,2009-12-12 20:12:00,Viewing Distance Over One Mile,0 days 12:12:12.000000000,,,,,,,,,
45167,2013-01-13 01:01:00,2013-01-12 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45168,2013-01-13 03:07:00,2012-12-05 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45169,2013-01-13 06:31:00,2013-01-11 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45170,2013-01-13 07:02:00,2013-01-12 15:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45171,2013-01-13 07:37:00,2013-01-13 02:35:00,Viewing Distance Unknown,0 days 00:00:07.000000000,,,,,,,,,
45172,2013-01-13 08:07:00,2013-01-13 04:15:00,Viewing Distance N/A,,,,,,,,,,
45173,2013-01-13 08:24:00,2013-01-13 07:30:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45174,2013-01-13 08:40:00,2013-01-12 00:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile",0 days 00:00:15.000000000,,,,,,,,,
45175,2013-01-13 08:44:00,2013-01-12 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45176,2013-01-13 10:32:00,2013-01-12 13:30:00,Viewing Distance Unknown,,,,,,,,,,
45177,2013-01-13 12:03:00,2013-01-13 11:20:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45178,2013-01-13 15:34:00,2013-01-11 21:30:00,Viewing Distance Unknown,,,,,,,,,,
45179,2013-01-13 19:21:00,2012-10-06 01:23:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45180,2013-01-13 21:42:00,2013-01-13 04:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45181,2013-01-13 23:57:00,2013-01-12 23:00:00,Viewing Distance Unknown,,,,,,,,,,
45182,2013-01-14 02:30:00,2013-01-11 07:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45183,2013-01-14 04:32:00,2013-01-14 02:02:00,Viewing Distance Over One Mile,0 days 00:00:10.000000000,,,,,,,,,
45184,2013-01-14 04:39:00,2013-01-14 02:02:00,Viewing Distance Over One Mile,0 days 00:00:10.000000000,,,,,,,,,
45185,2013-01-14 04:40:00,2013-01-13 04:20:00,Viewing Distance Unknown,,,,,,,,,,
45186,2013-01-14 05:15:00,2013-01-01 00:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45187,2013-01-14 05:39:00,2013-01-13 10:20:00,Viewing Distance N/A,0 days 02:08:00.000000000,,,,,,,,,
45188,2013-01-14 05:57:00,2013-01-14 03:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45189,2013-01-14 06:42:00,2013-01-13 01:15:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45190,2013-01-14 06:48:00,2013-01-14 05:05:00,Viewing Distance Over One Mile,,,,,,,,,,
45191,2013-01-14 08:40:00,2013-01-13 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45192,2013-01-14 09:33:00,2012-07-08 06:30:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45193,2013-01-14 10:23:00,2013-01-11 22:23:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45194,2013-01-14 13:52:00,2008-02-22 14:30:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:00:30.000000000,,,,,,,,,
45195,2013-01-14 16:17:00,2013-01-13 04:35:00,Viewing Distance 101-500 Feet,0 days 00:03:00.000000000,,,,,,,,,
45196,2013-01-14 20:01:00,2013-01-13 01:40:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45197,2013-01-14 20:21:00,2013-01-01 05:35:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:02:00.000000000,,,,,,,,,
45198,2013-01-14 21:18:00,2012-12-27 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45199,2013-01-15 00:48:00,2013-01-13 03:09:00,Viewing Distance Unknown,0 days 07:09:00.000000000,,,,,,,,,
45200,2013-01-15 02:53:00,2013-01-15 00:45:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45201,2013-01-15 03:47:00,2013-01-12 09:20:00,"Viewing Distance Over 1 Mile, Unknown",,,,,,,,,,
45202,2013-01-15 04:14:00,2012-12-29 20:01:00,Viewing Distance 20 Feet or Less,,,,,,,,,,
45203,2013-01-15 04:26:00,2013-01-13 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45204,2013-01-15 06:16:00,2013-01-08 01:20:00,Viewing Distance N/A,,,,,,,,,,
45205,2013-01-15 06:31:00,2013-01-13 03:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",0 days 00:02:00.000000000,,,,,,,,,
45206,2013-01-15 06:33:00,2012-10-27 02:20:00,Viewing Distance Unknown,,,,,,,,,,
45207,2013-01-15 06:57:00,2013-01-15 05:07:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45208,2013-01-15 06:58:00,2011-12-11 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45209,2013-01-15 07:02:00,2011-12-11 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45210,2013-01-15 07:13:00,2001-07-29 07:00:00,Viewing Distance Unknown,,,,,,,,,,
45211,2013-01-15 07:44:00,2013-01-14 15:47:00,Viewing Distance Unknown,,,,,,,,,,
45212,2013-01-15 11:49:00,1986-04-05 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45213,2013-01-15 14:06:00,2013-01-15 11:15:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45214,2013-01-15 16:13:00,2012-01-14 05:05:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45215,2013-01-15 18:22:00,2013-01-13 06:50:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45216,2013-01-15 18:24:00,2013-01-13 01:16:00,Viewing Distance 20 Feet or Less,0 days 00:00:01.000000000,,,,,,,,,
45217,2013-01-15 20:08:00,2013-01-15 05:03:00,Viewing Distance Over One Mile,,,,,,,,,,
45218,2013-01-15 21:19:00,1890-03-29 08:00:00,Viewing Distance 501 Feet - 1 Mile,,,,,,,,,,
45219,2013-01-15 22:04:00,2013-01-15 01:45:00,Viewing Distance Unknown,,,,,,,,,,
45220,2013-01-15 22:38:00,2013-01-13 08:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45221,2013-01-15 22:46:00,1973-05-15 09:20:00,"Viewing Distance 20 Feet or Less, 101-500 Feet, 501 Feet - 1 Mile",,,,,,,,,,
45222,2013-01-15 22:55:00,2013-01-15 19:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45223,2013-01-15 23:23:00,2012-10-17 07:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45224,2013-01-16 01:18:00,2012-02-08 02:58:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45225,2013-01-16 01:19:00,2012-12-25 18:45:00,Viewing Distance 21-100 Feet,0 days 00:10:00.000000000,,,,,,,,,
45226,2013-01-16 01:21:00,2009-07-15 07:00:00,Viewing Distance 21-100 Feet,,,,,,,,,,
45227,2013-01-16 01:33:00,2013-01-15 04:12:00,Viewing Distance Over One Mile,,,,,,,,,,
45228,2013-01-16 01:43:00,2013-01-15 05:39:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45229,2013-01-16 02:26:00,2013-01-14 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45230,2013-01-16 05:21:00,2013-01-04 02:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45231,2013-01-16 06:52:00,2013-01-15 08:00:00,Viewing Distance Over One Mile,,,,,,,,,,
45232,2013-01-16 07:00:00,2013-01-15 02:56:00,Viewing Distance Unknown,,,,,,,,,,
45233,2013-01-16 07:10:00,2013-01-15 08:00:00,Viewing Distance Unknown,,,,,,,,,,
45234,2013-01-16 07:42:00,2010-01-01 08:00:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45235,2013-01-16 08:04:00,2013-01-16 05:30:00,Viewing Distance 101-500 Feet,,,,,,,,,,
45236,2013-01-16 08:05:00,2013-01-16 03:30:00,Viewing Distance Over One Mile,,,,,,,,,,
45237,2013-01-16 08:19:00,2013-01-15 03:30:00,Viewing Distance Unknown,0 days 00:15:00.000000000,,,,,,,,,
45238,2013-01-16 08:22:00,2013-01-16 03:35:00,Viewing Distance Over One Mile,0 days 00:25:00.000000000,,,,,,,,,
45239,2013-01-16 08:41:00,2013-01-16 05:30:00,Viewing Distance 101-500 Feet,0 days 01:00:00.000000000,,,,,,,,,
45240,2013-01-16 09:16:00,2006-04-11 07:00:00,"Viewing Distance 501 Feet - 1 Mile, Over 1 Mile, Unknown",,,,,,,,,,
