,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
47688,2013-05-28 06:47:00,2013-05-21 02:52:00,"Viewing Distance 501 Feet - 1 Mile, Unknown",, Virginia Beach,, United States, 36.86174, -75.96906,,,,
47689,2013-05-28 08:11:00,2013-05-27 05:05:00,Viewing Distance 501 Feet - 1 Mile,, Pennsylvania,, 40.44508, -80.00877,,,,,
47690,2013-05-28 08:21:00,2013-05-28 05:45:00,"Viewing Distance Over 1 Mile, Unknown",, Kernersville,, United States, 36.12097, -80.07014,,,,
47691,2013-05-28 08:32:00,2013-05-15 02:00:00,Viewing Distance 20 Feet or Less,, Sacramento,, United States, 38.57095, -121.41338,,,,
47692,2013-05-28 08:47:00,1981-01-01 08:00:00,Viewing Distance 20 Feet or Less,, Fond du Lac,, United States, 43.73118, -88.43176,,,,
47693,2013-05-28 11:42:00,2004-06-01 07:00:00,Viewing Distance Unknown,, California,, 36.78180, -119.40989,,,,,
47695,2013-05-28 16:19:00,2013-05-28 05:07:00,Viewing Distance Over One Mile,, Elkhart,, United States, 41.68655, -85.96937,,,,
47696,2013-05-28 16:24:00,2013-05-27 05:45:00,Viewing Distance Unknown,, Lakeside Marblehead,, United States, 41.53594, -82.75934,,,,
47697,2013-05-28 17:41:00,2007-06-20 23:10:00,"Viewing Distance 101-500 Feet, Unknown, N/A",0 days 10:13:30.000000000, Poteet,, United States, 29.03671, -98.55730, Triangle,,,
47698,2013-05-28 17:42:00,2013-05-26 04:30:00,Viewing Distance Over One Mile,, Crockett,, United States, 31.31824, -95.45661,,,,
47699,2013-05-28 18:04:00,1997-06-11 04:30:00,Viewing Distance 21-100 Feet,, Milwaukee,, United States, 43.09900, -88.00098,,,,
47700,2013-05-28 18:34:00,2013-05-12 04:10:00,Viewing Distance 21-100 Feet,0 days 00:03:57.000000000, Orlando,, United States, 28.52581, -81.30156, Circle,,,
47701,2013-05-28 20:25:00,2006-01-01 08:00:00,Viewing Distance 20 Feet or Less,, Greenville,, United States, 31.79732, -86.80081,,,,
47703,2013-05-28 22:53:00,2013-05-25 07:00:00,Viewing Distance Over One Mile,, Huntington Beach,, United States, 33.71552, -118.02395,,,,
